"","distance","height","speed"
"1",5,0,34.3
"2",5,0,68.6
"3",25,0,68.6
"4",25,10,34.3
"5",25,10,68.6
"6",25,0,34.3
"7",25,0,68.6
"8",5,10,34.3
"9",5,0,34.3
"10",5,0,68.6
"11",25,10,34.3
"12",25,10,68.6
"13",5,10,68.6
"14",25,0,68.6
"15",25,0,34.3
"16",5,10,34.3
"17",25,10,68.6
"18",5,0,34.3
"19",5,0,68.6
"20",10,10,42.875
"21",20,0,68.6
"22",20,7.5,34.3
"23",5,10,68.6
"24",25,10,34.3
"25",25,10,34.3
"26",20,2.5,34.3
"27",25,0,34.3
"28",25,10,68.6
"29",20,0,60.025
"30",5,10,34.3
"31",10,0,42.875
"32",20,10,42.875
"33",25,0,34.3
"34",25,0,68.6
"35",5,0,60.025
"36",5,7.5,60.025
"37",10,7.5,34.3
"38",25,2.5,60.025
"39",10,7.5,42.875
"40",20,10,68.6
"41",5,0,34.3
"42",10,0,60.025
"43",5,10,34.3
"44",20,7.5,60.025
"45",5,10,68.6
"46",10,2.5,68.6
"47",20,2.5,68.6
"48",5,0,68.6
"49",25,0,42.875
"50",10,10,60.025
"51",5,7.5,34.3
"52",5,10,68.6
"53",25,2.5,60.025
"54",25,7.5,42.875
"55",20,2.5,34.3
"56",10,2.5,68.6
"57",5,2.5,42.875
"58",25,7.5,60.025
"59",25,10,34.3
"60",5,2.5,60.025
"61",5,10,42.875
"62",5,2.5,42.875
"63",10,2.5,34.3
"64",5,7.5,68.6
"65",10,0,34.3
"66",10,2.5,68.6
"67",10,10,60.025
"68",20,10,60.025
"69",20,7.5,68.6
"70",25,2.5,42.875
"71",10,7.5,68.6
"72",20,10,42.875
"73",20,0,42.875
"74",25,7.5,68.6
"75",25,7.5,42.875
