"","distance","height","speed"
"1",20,0,60.025
"2",20,0,51.45
"3",20,7.5,42.875
"4",25,0,34.3
"5",20,7.5,42.875
"6",20,2.5,68.6
"7",20,7.5,60.025
"8",20,2.5,60.025
"9",5,2.5,42.875
"10",10,10,42.875
"11",25,10,34.3
"12",20,0,42.875
"13",5,0,34.3
"14",20,7.5,34.3
"15",20,2.5,60.025
"16",20,7.5,42.875
"17",10,2.5,42.875
"18",10,5,60.025
"19",25,10,34.3
"20",10,10,42.875
"21",5,10,68.6
"22",10,2.5,60.025
"23",25,0,34.3
"24",10,7.5,42.875
"25",10,7.5,60.025
"26",5,2.5,42.875
"27",25,0,68.6
"28",20,10,51.45
"29",10,7.5,42.875
"30",25,2.5,42.875
"31",10,2.5,42.875
"32",20,2.5,60.025
"33",10,0,34.3
"34",25,10,60.025
"35",15,10,42.875
"36",5,0,68.6
"37",10,2.5,42.875
"38",25,0,68.6
"39",10,10,68.6
"40",5,0,42.875
"41",20,7.5,34.3
"42",10,7.5,68.6
"43",25,2.5,42.875
"44",20,10,60.025
"45",10,7.5,60.025
"46",5,10,34.3
"47",20,7.5,42.875
"48",20,7.5,68.6
"49",20,10,68.6
"50",10,0,68.6
"51",15,2.5,34.3
"52",5,7.5,34.3
"53",10,7.5,42.875
"54",20,2.5,42.875
"55",20,5,60.025
"56",10,7.5,60.025
"57",5,2.5,60.025
"58",10,2.5,34.3
"59",10,0,60.025
"60",25,2.5,60.025
"61",5,7.5,60.025
"62",25,7.5,42.875
"63",25,7.5,60.025
"64",5,10,60.025
"65",10,5,34.3
"66",15,2.5,68.6
"67",25,10,68.6
"68",5,2.5,68.6
"69",5,10,34.3
"70",10,0,60.025
"71",10,2.5,60.025
"72",25,7.5,68.6
"73",5,7.5,60.025
"74",20,2.5,42.875
"75",20,2.5,34.3
