"","distance","height","speed"
"1",25,0,34.3
"2",25,10,34.3
"3",5,10,68.6
"4",5,10,34.3
"5",5,0,34.3
"6",11.6666666666667,0,45.7333333333333
"7",18.3333333333333,6.66666666666667,68.6
"8",25,0,68.6
"9",11.6666666666667,3.33333333333333,68.6
"10",25,6.66666666666667,57.1666666666667
"11",5,6.66666666666667,45.7333333333333
"12",25,0,34.3
"13",25,3.33333333333333,45.7333333333333
"14",18.3333333333333,3.33333333333333,34.3
"15",5,0,68.6
"16",11.6666666666667,10,57.1666666666667
"17",25,10,68.6
"18",25,0,68.6
"19",18.3333333333333,10,45.7333333333333
"20",25,10,34.3
"21",18.3333333333333,0,57.1666666666667
"22",5,10,68.6
"23",5,0,34.3
"24",5,3.33333333333333,57.1666666666667
"25",11.6666666666667,6.66666666666667,34.3
