"","distance","height","speed"
"1",5,10,68.6
"2",18.3333333333333,6.66666666666667,68.6
"3",25,3.33333333333333,57.1666666666667
"4",11.6666666666667,6.66666666666667,45.7333333333333
"5",11.6666666666667,3.33333333333333,68.6
"6",5,10,34.3
"7",18.3333333333333,6.66666666666667,57.1666666666667
"8",25,0,34.3
"9",11.6666666666667,6.66666666666667,57.1666666666667
"10",25,10,68.6
"11",18.3333333333333,10,34.3
"12",11.6666666666667,3.33333333333333,34.3
"13",5,0,34.3
"14",25,0,68.6
"15",5,6.66666666666667,45.7333333333333
"16",11.6666666666667,0,57.1666666666667
"17",25,6.66666666666667,34.3
"18",11.6666666666667,10,57.1666666666667
"19",11.6666666666667,3.33333333333333,45.7333333333333
"20",18.3333333333333,3.33333333333333,57.1666666666667
"21",18.3333333333333,3.33333333333333,45.7333333333333
"22",5,0,68.6
"23",25,10,45.7333333333333
"24",5,3.33333333333333,57.1666666666667
"25",18.3333333333333,0,45.7333333333333
