"","distance","height","speed"
"1",25,10,68.6
"2",25,0,34.3
"3",20,2.5,42.875
"4",5,0,34.3
"5",10,2.5,42.875
"6",25,5,51.45
"7",10,2.5,42.875
"8",5,10,68.6
"9",10,2.5,60.025
"10",20,7.5,42.875
"11",20,7.5,60.025
"12",20,7.5,60.025
"13",25,7.5,68.6
"14",25,2.5,42.875
"15",25,10,34.3
"16",20,7.5,42.875
"17",10,7.5,34.3
"18",5,2.5,42.875
"19",10,2.5,60.025
"20",20,2.5,68.6
"21",5,10,42.875
"22",10,7.5,60.025
"23",10,2.5,42.875
"24",20,2.5,42.875
"25",5,2.5,68.6
"26",25,7.5,42.875
"27",25,0,42.875
"28",25,0,68.6
"29",20,7.5,42.875
"30",20,2.5,60.025
"31",10,2.5,34.3
"32",5,10,68.6
"33",10,7.5,60.025
"34",10,7.5,60.025
"35",5,0,60.025
"36",20,0,51.45
"37",20,2.5,60.025
"38",25,2.5,60.025
"39",5,10,34.3
"40",10,0,42.875
"41",20,7.5,60.025
"42",10,10,60.025
"43",25,10,34.3
"44",25,7.5,42.875
"45",25,10,68.6
"46",10,2.5,68.6
"47",10,0,68.6
"48",10,7.5,42.875
"49",20,2.5,42.875
"50",20,0,68.6
"51",25,2.5,60.025
"52",10,10,42.875
"53",10,0,34.3
"54",25,0,34.3
"55",5,7.5,60.025
"56",25,10,34.3
"57",25,7.5,60.025
"58",5,2.5,42.875
"59",20,7.5,68.6
"60",5,0,60.025
"61",10,7.5,34.3
"62",20,2.5,68.6
"63",20,0,42.875
"64",25,0,68.6
"65",10,2.5,60.025
"66",20,10,42.875
"67",20,0,60.025
"68",10,7.5,42.875
"69",5,7.5,42.875
"70",20,10,60.025
"71",20,7.5,34.3
"72",20,2.5,60.025
"73",5,10,34.3
"74",20,7.5,60.025
"75",20,10,68.6
"76",20,10,42.875
"77",5,2.5,60.025
"78",10,10,60.025
"79",20,2.5,34.3
"80",20,2.5,34.3
"81",10,0,42.875
"82",10,2.5,42.875
"83",5,5,34.3
"84",15,0,60.025
"85",5,0,68.6
"86",10,7.5,68.6
"87",10,10,42.875
"88",10,7.5,68.6
"89",15,10,60.025
"90",10,2.5,68.6
"91",5,7.5,60.025
"92",20,7.5,51.45
"93",25,2.5,60.025
"94",20,2.5,34.3
"95",5,0,34.3
"96",10,7.5,42.875
"97",5,7.5,68.6
"98",20,5,42.875
"99",10,2.5,60.025
"100",15,7.5,34.3
