"","distance","height","speed"
"1",25,0,68.6
"2",5,0,34.3
"3",5,10,68.6
"4",5,10,34.3
"5",25,10,68.6
"6",25,10,34.3
"7",25,0,68.6
"8",5,0,68.6
"9",25,0,34.3
"10",5,0,34.3
"11",5,10,68.6
"12",5,10,34.3
"13",25,10,68.6
"14",25,0,68.6
"15",25,10,34.3
"16",5,10,68.6
"17",5,0,34.3
"18",5,0,68.6
"19",25,0,34.3
"20",5,10,34.3
"21",25,10,34.3
"22",25,10,68.6
"23",5,0,68.6
"24",25,0,68.6
"25",5,10,68.6
"26",5,0,34.3
"27",25,10,68.6
"28",25,0,34.3
"29",5,7.5,34.3
"30",5,0,68.6
"31",25,7.5,42.875
"32",5,10,68.6
"33",20,10,42.875
"34",25,2.5,34.3
"35",25,10,68.6
"36",25,0,68.6
"37",25,10,34.3
"38",10,7.5,34.3
"39",5,2.5,60.025
"40",20,10,42.875
"41",25,10,68.6
"42",10,7.5,68.6
"43",25,10,34.3
"44",10,0,60.025
"45",20,7.5,68.6
"46",10,10,60.025
"47",20,0,60.025
"48",10,10,34.3
"49",10,7.5,68.6
"50",10,2.5,34.3
"51",25,2.5,42.875
"52",20,10,60.025
"53",20,7.5,34.3
"54",10,0,42.875
"55",5,7.5,42.875
"56",25,2.5,42.875
"57",25,7.5,60.025
"58",20,0,60.025
"59",5,0,34.3
"60",10,2.5,68.6
"61",25,10,34.3
"62",5,0,68.6
"63",10,2.5,34.3
"64",5,2.5,60.025
"65",5,7.5,60.025
"66",5,0,68.6
"67",5,2.5,42.875
"68",10,2.5,68.6
"69",5,10,34.3
"70",25,2.5,60.025
"71",10,10,60.025
"72",10,7.5,68.6
"73",20,2.5,68.6
"74",20,7.5,68.6
"75",5,7.5,60.025
"76",5,0,34.3
"77",10,0,42.875
"78",5,10,68.6
"79",5,10,42.875
"80",20,2.5,68.6
"81",20,0,42.875
"82",5,2.5,42.875
"83",20,2.5,68.6
"84",20,0,34.3
"85",25,7.5,42.875
"86",10,0,60.025
"87",25,0,34.3
"88",10,10,42.875
"89",5,7.5,42.875
"90",25,2.5,60.025
"91",10,0,42.875
"92",20,2.5,34.3
"93",20,0,42.875
"94",25,7.5,60.025
"95",25,0,68.6
"96",5,10,34.3
"97",25,0,34.3
"98",10,7.5,34.3
"99",20,10,60.025
"100",20,7.5,34.3
